x,class,fold
predator-prey dynamics in a wolf-ungulate system,ecology,train
"mathematical sciences ""mathematical topics related to fluid instabilities",math,train
scheduling of random processes and quantum information,theory,train
emerging coalitions in the soviet all-union and republican legislatures,politic,train
short-term network organizations the emergence and institutionalization of flexible production practices in the u.s. movie,sociology,train
"quantitative studies of coupled fluid flow, rock deformation, heat transfer and mass transport in deforming geologic systems",hydro,train
approximation algorithms for network-design and transportation problems,theory,train
flow laws for quartzo-feldspathic aggregates,geophysics,train
long term variations in geomagnetic intensity from layered intrusions,geophysics,train
investigation of the localization of seismic moment release at subduction zones,geophysics,train
cooperative behavior and the frequency of social interaction,economics,train
"voters as goal-directed information processors candidate traits as prospective, performance-oriented judgments",politic,train
systems of conservation laws and related models in applied sciences - math awareness and outreach,math,train
the anatomy of real exchange rates,economics,train
neural-glial interactions in the developing moth wing,neuroscience,train
"blow-up, quenching and absorption solutions of nonlinear volterra equations",math,train
reu site in sociology,sociology,train
reu interactions between stream flow and predator effects,ecology,train
nonparametric estimation in engineering,statistics,train
mathematical sciences bayesian analysis of two- and higher-way models,statistics,train
